,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Yar-Sale,66.83,70.83,22.41,95,6,8.95,RU
1,Wenling,28.37,121.36,66.0,85,100,9.48,CN
2,Birjand,32.87,59.22,73.4,5,0,9.17,IR
3,Tessalit,20.2,1.01,97.95,10,0,10.07,ML
4,Rikitea,-23.12,-134.97,74.07,81,54,21.05,PF
5,Kavieng,-2.57,150.8,82.58,75,2,10.63,PG
6,Yellowknife,62.46,-114.35,23.0,100,75,8.05,CA
7,Port Alfred,-33.59,26.89,67.3,67,100,19.04,ZA
8,Mahibadhoo,3.78,72.97,82.63,78,86,15.82,MV
9,Busselton,-33.65,115.33,64.99,51,0,15.73,AU
10,Brae,60.4,-1.35,46.4,61,20,2.24,GB
11,Zhigansk,66.77,123.37,13.01,95,90,5.5,RU
12,Mwingi,-0.93,38.06,84.15,32,43,10.56,KE
13,Hermanus,-34.42,19.23,68.0,61,61,3.0,ZA
14,Butaritari,3.07,172.79,81.18,76,65,19.28,KI
15,Jamestown,42.1,-79.24,48.99,56,1,11.41,SH
16,Barrow,71.29,-156.79,19.4,79,1,12.75,US
17,Khatanga,71.97,102.5,7.81,86,0,8.3,RU
18,Alexandria,31.22,29.96,82.4,58,0,12.75,EG
19,Pascagoula,30.37,-88.56,64.99,82,1,5.82,US
20,Bredasdorp,-34.53,20.04,69.8,52,57,13.87,ZA
21,Araouane,18.9,-3.53,99.3,11,0,11.39,ML
22,Qaanaaq,77.48,-69.36,34.7,83,93,7.52,GL
23,Ribeira Grande,38.52,-28.7,66.2,52,20,12.75,PT
24,Norman Wells,65.28,-126.83,8.6,92,20,5.82,CA
25,Tiznit,29.58,-9.5,81.61,18,100,11.14,MA
26,Polunochnoye,60.87,60.42,28.49,93,100,4.05,RU
27,Hobart,-42.88,147.33,51.8,71,90,6.93,AU
28,Westport,41.14,-73.36,55.0,66,1,6.93,IE
29,Carlyle,38.61,-89.37,57.99,66,52,1.99,CA
30,Asau,46.43,26.4,52.0,69,38,4.72,TV
31,Lodja,-3.48,23.43,90.25,45,88,4.05,CD
32,Palaikastron,35.2,26.25,81.0,68,100,4.0,GR
33,Charters Towers,-20.1,146.27,66.04,83,0,8.86,AU
34,Waipawa,-41.41,175.52,55.4,87,100,17.22,NZ
35,Punta Arenas,-53.15,-70.92,42.8,81,40,17.22,CL
36,Chokurdakh,70.63,147.92,20.16,98,93,8.28,RU
37,New Norfolk,-42.78,147.06,51.01,72,97,1.99,AU
38,Hilo,19.73,-155.09,71.6,78,40,4.7,US
39,Saint-Philippe,-21.36,55.77,77.0,69,33,16.11,RE
40,Suntar,62.14,117.63,17.83,95,0,3.33,RU
41,Tuktoyaktuk,69.45,-133.04,12.2,85,5,4.7,CA
42,Castro,-24.79,-50.01,68.22,69,100,6.51,CL
43,Vanimo,-2.67,141.3,79.14,83,100,4.29,PG
44,Muroto,33.28,134.15,67.17,63,22,10.6,JP
45,Klaksvik,62.23,-6.59,39.2,93,75,10.29,FO
46,Tigil,57.8,158.67,35.89,84,100,9.42,RU
47,Bambous Virieux,-20.34,57.76,77.0,65,40,9.17,MU
48,Bilibino,68.05,166.44,15.26,92,98,2.66,RU
49,Tabory,58.52,64.55,30.79,97,100,6.67,RU
50,Nome,64.5,-165.41,39.2,93,90,13.87,US
51,Rassvet,46.83,40.75,70.03,65,78,9.91,RU
52,Baykit,61.67,96.37,30.58,92,86,9.71,RU
53,Ancud,-41.87,-73.82,53.01,87,75,16.11,CL
54,Nenjiang,49.18,125.22,34.47,83,21,9.89,CN
55,Puerto Del Rosario,28.5,-13.86,71.6,68,20,10.29,ES
56,Rosa Zarate,0.33,-79.47,75.15,84,100,2.44,EC
57,Poum,-20.23,164.02,73.38,72,0,16.4,NC
58,Richmond,37.55,-77.46,57.99,71,20,8.05,US
59,Vaini,-21.2,-175.2,69.8,83,20,9.17,TO
60,Helong,42.54,129.0,37.02,77,0,4.05,CN
61,Turukhansk,65.82,87.98,28.38,98,100,5.97,RU
62,Ushuaia,-54.8,-68.3,44.6,75,75,28.86,AR
63,Vihari,30.03,72.35,78.94,16,0,2.37,PK
64,Banjar,-8.19,114.97,82.4,78,75,5.82,ID
65,Ludza,56.55,27.72,40.82,92,100,14.34,LV
66,Arraial Do Cabo,-22.97,-42.03,77.0,65,40,14.99,BR
67,Bluff,-46.6,168.33,50.0,79,100,1.01,NZ
68,Hurricane,37.18,-113.29,53.6,22,1,2.75,US
69,Champerico,14.3,-91.92,71.6,94,75,4.45,GT
70,Nkowakowa,-23.89,30.29,87.8,14,31,10.29,ZA
71,Georgetown,5.41,100.34,84.2,83,20,1.12,SH
72,Zhicheng,30.3,111.5,55.99,78,8,2.68,CN
73,Oudtshoorn,-33.59,22.2,64.4,63,75,9.17,ZA
74,Fairbanks,64.84,-147.72,19.99,51,100,1.7,US
75,Nouadhibou,20.93,-17.03,89.6,38,10,10.29,MR
76,Beringovskiy,63.05,179.32,35.31,82,77,5.28,RU
77,Lorengau,-2.02,147.27,82.2,79,2,7.76,PG
78,Morropon,-5.18,-79.97,78.94,47,15,4.81,PE
79,Esperance,-33.87,121.9,57.2,76,86,11.41,AU
80,Cuenca,-2.88,-78.98,60.8,72,99,3.36,EC
81,Severo-Kurilsk,50.68,156.12,45.48,82,50,10.56,RU
82,Ust-Nera,64.57,143.2,8.6,86,91,4.45,RU
83,Choma,-16.81,26.95,86.47,13,0,11.16,ZM
84,Geraldton,-28.77,114.6,68.0,82,2,10.29,AU
85,Kutum,14.2,24.67,90.66,11,0,15.59,SD
86,Eyl,7.98,49.82,85.96,56,45,17.47,SO
87,Touros,-5.2,-35.46,84.2,66,40,11.41,BR
88,Ponta Do Sol,32.67,-17.1,69.8,94,75,20.8,CV
89,Puerto Ayora,-0.74,-90.35,70.0,89,100,7.0,EC
90,Aleksandrovsk-Sakhalinskiy,50.9,142.16,36.21,74,0,23.53,RU
91,Grand Gaube,-20.01,57.66,75.99,60,1,8.01,MU
92,Avarua,-21.21,-159.78,71.6,83,75,5.82,CK
